Membership No  Date Joined  Active  
    99758      2018-11-9    yes   
    90531      2016-5-2     yes   
    43835      2019-6-23    yes   
    29184      2016-11-1    yes   
    47356      2017-7-5     yes   
    97945      2020-9-23    no    
    80311      2019-12-20   no    
    87862      2020-1-24    yes   
    11679      2020-3-6     no    
    86070      2018-9-25    yes   
    89479      2015-7-1     yes   
    62519      2015-9-25    no    
    96750      2017-11-9    no    
    37590      2018-11-3    yes   
    13155      2018-12-11   yes   
    31057      2020-7-7     no    
    41800      2018-10-13   yes   
    15642      2016-2-18    no    
    75120      2015-3-4     yes   
    21728      2015-11-4    yes   
