Membership No  Date Joined  Active  
    73534      2018-1-3     no    
    61724      2017-11-14   no    
    83750      2018-4-8     no    
    56989      2017-3-15    no    
    20421      2019-9-16    no    
    40460      2015-3-10    no    
    52258      2019-3-22    no    
    22502      2020-1-19    no    
    12016      2020-5-23    no    
    19646      2020-10-14   no    
    31559      2018-11-17   no    
    51735      2020-2-12    no    
    61470      2019-11-12   no    
    43885      2018-12-10   no    
    59715      2018-7-15    no    
